CryptoID,Date,Open,High,Low,Close,Adj Close,Volume
DOGE-GBP,2017-12-09,0.002071,0.002127,0.001812,0.001955,0.001955,4905126
DOGE-GBP,2017-12-10,0.001948,0.002049,0.001723,0.001902,0.001902,4193368
DOGE-GBP,2017-12-11,0.001914,0.00217,0.001892,0.002096,0.002096,5257466
DOGE-GBP,2017-12-12,0.002094,0.00254,0.001998,0.002481,0.002481,14438054
DOGE-GBP,2017-12-13,0.002482,0.002906,0.002416,0.002581,0.002581,23233070
DOGE-GBP,2017-12-14,0.002573,0.002769,0.002553,0.002762,0.002762,17441888
DOGE-GBP,2017-12-15,0.002733,0.002858,0.002605,0.002824,0.002824,14298221
DOGE-GBP,2017-12-16,0.002828,0.004693,0.002731,0.004455,0.004455,102374797
DOGE-GBP,2017-12-17,0.004442,0.005727,0.004194,0.004494,0.004494,74665565
DOGE-GBP,2017-12-18,0.00446,0.005095,0.00422,0.004808,0.004808,33008521
DOGE-GBP,2017-12-19,0.004785,0.005003,0.004091,0.004233,0.004233,29053870
DOGE-GBP,2017-12-20,0.004199,0.00528,0.003652,0.004983,0.004983,50729299
DOGE-GBP,2017-12-21,0.005036,0.006566,0.004927,0.005551,0.005551,118984749
DOGE-GBP,2017-12-22,0.005522,0.005701,0.003547,0.004533,0.004533,47689353
DOGE-GBP,2017-12-23,0.004593,0.006046,0.004574,0.005435,0.005435,52518047
DOGE-GBP,2017-12-24,0.005452,0.006698,0.004473,0.006423,0.006423,107601982
DOGE-GBP,2017-12-25,0.006473,0.008023,0.006423,0.006678,0.006678,133100787
DOGE-GBP,2017-12-26,0.006681,0.007196,0.006112,0.007037,0.007037,93036489
DOGE-GBP,2017-12-27,0.006985,0.007166,0.006353,0.00662,0.00662,47478173
DOGE-GBP,2017-12-28,0.006608,0.006609,0.005738,0.006315,0.006315,38102024
DOGE-GBP,2017-12-29,0.006335,0.007014,0.006036,0.00695,0.00695,46236604
DOGE-GBP,2017-12-30,0.006931,0.006991,0.005468,0.005817,0.005817,41574378
DOGE-GBP,2017-12-31,0.005775,0.006871,0.005675,0.006647,0.006647,46122685
DOGE-GBP,2018-01-01,0.006691,0.006718,0.006005,0.006595,0.006595,37471794
DOGE-GBP,2018-01-02,0.006568,0.007065,0.006329,0.006728,0.006728,65786873
DOGE-GBP,2018-01-03,0.006686,0.007047,0.006535,0.006899,0.006899,49115331
DOGE-GBP,2018-01-04,0.006918,0.007413,0.006475,0.007117,0.007117,80432472
DOGE-GBP,2018-01-05,0.007129,0.009053,0.007073,0.008967,0.008967,156532288
DOGE-GBP,2018-01-06,0.009011,0.011636,0.009011,0.010954,0.010954,209107453
DOGE-GBP,2018-01-07,0.010814,0.013836,0.010744,0.012589,0.012589,212305879
DOGE-GBP,2018-01-08,0.012608,0.013027,0.01016,0.011089,0.011089,173285672
DOGE-GBP,2018-01-09,0.011108,0.011472,0.009617,0.00992,0.00992,85191071
DOGE-GBP,2018-01-10,0.010019,0.010021,0.008499,0.009697,0.009697,74193620
DOGE-GBP,2018-01-11,0.009636,0.00974,0.008146,0.008471,0.008471,46326907
DOGE-GBP,2018-01-12,0.008479,0.00971,0.008236,0.009508,0.009508,41491006
DOGE-GBP,2018-01-13,0.009509,0.009943,0.009088,0.009485,0.009485,40703955
DOGE-GBP,2018-01-14,0.009509,0.009604,0.008261,0.00851,0.00851,47992863
DOGE-GBP,2018-01-15,0.00847,0.008571,0.007141,0.007146,0.007146,45502030
DOGE-GBP,2018-01-16,0.00715,0.007149,0.004112,0.004944,0.004944,49354399
DOGE-GBP,2018-01-17,0.004937,0.005599,0.003984,0.005532,0.005532,42568142
DOGE-GBP,2018-01-18,0.005527,0.00629,0.005199,0.005737,0.005737,40745303
DOGE-GBP,2018-01-19,0.005667,0.006081,0.005367,0.00568,0.00568,21891968
DOGE-GBP,2018-01-20,0.005742,0.006241,0.005742,0.006096,0.006096,16579418
DOGE-GBP,2018-01-21,0.006089,0.006089,0.005028,0.005134,0.005134,16510511
DOGE-GBP,2018-01-22,0.005183,0.005472,0.004517,0.004816,0.004816,14280626
DOGE-GBP,2018-01-23,0.004808,0.005043,0.004467,0.004763,0.004763,12764240
DOGE-GBP,2018-01-24,0.004741,0.005086,0.004613,0.004981,0.004981,12272241
DOGE-GBP,2018-01-25,0.005032,0.005498,0.00501,0.005419,0.005419,15074846
DOGE-GBP,2018-01-26,0.005444,0.005629,0.004765,0.005108,0.005108,13815416
DOGE-GBP,2018-01-27,0.00511,0.005326,0.00506,0.005204,0.005204,8239500
DOGE-GBP,2018-01-28,0.00523,0.005422,0.005181,0.005275,0.005275,9943958
DOGE-GBP,2018-01-29,0.005231,0.005316,0.004877,0.004952,0.004952,9291471
DOGE-GBP,2018-01-30,0.004953,0.004974,0.004201,0.004256,0.004256,11202416
DOGE-GBP,2018-01-31,0.004239,0.004391,0.004064,0.004233,0.004233,10392829
DOGE-GBP,2018-02-01,0.004241,0.00429,0.003358,0.003526,0.003526,13143148
DOGE-GBP,2018-02-02,0.003521,0.003522,0.002327,0.003169,0.003169,21185340
DOGE-GBP,2018-02-03,0.003188,0.003892,0.002946,0.003657,0.003657,12760694
DOGE-GBP,2018-02-04,0.00367,0.003766,0.00296,0.003118,0.003118,9186109
DOGE-GBP,2018-02-05,0.003116,0.003167,0.002411,0.002534,0.002534,8957470
DOGE-GBP,2018-02-06,0.002542,0.00317,0.002174,0.003125,0.003125,13713887
DOGE-GBP,2018-02-07,0.003091,0.003451,0.002817,0.003096,0.003096,9359536
DOGE-GBP,2018-02-08,0.003072,0.003508,0.003071,0.003277,0.003277,6791072
