Date,Open,High,Low,Close,Adj Close,Volume
2018-04-28,0.208292,0.264747,0.208292,0.259611,0.259611,461909333
2018-04-29,0.261639,0.281394,0.252091,0.265168,0.265168,488041676
2018-04-30,0.264616,0.264558,0.244551,0.249287,0.249287,216898054
2018-05-01,0.249022,0.265464,0.235248,0.263609,0.263609,268627900
2018-05-02,0.262807,0.277478,0.256611,0.274444,0.274444,201072224
2018-05-03,0.274080,0.286707,0.270909,0.272446,0.272446,221675767
2018-05-04,0.273233,0.273273,0.259230,0.266131,0.266131,126544998
2018-05-05,0.266971,0.276049,0.266708,0.270680,0.270680,103034585
2018-05-06,0.270381,0.270381,0.252303,0.258681,0.258681,109515926
2018-05-07,0.258627,0.258627,0.238556,0.247071,0.247071,126334212
2018-05-08,0.247379,0.256761,0.239241,0.242290,0.242290,105117332
2018-05-09,0.242345,0.242345,0.225041,0.238937,0.238937,131523296
2018-05-10,0.239149,0.242034,0.219186,0.219757,0.219757,90951993
2018-05-11,0.219541,0.221348,0.183574,0.192117,0.192117,257571640
2018-05-12,0.193980,0.209313,0.178196,0.200097,0.200097,188686109
2018-05-13,0.200620,0.214292,0.195244,0.211020,0.211020,132508119
2018-05-14,0.210992,0.210979,0.192102,0.201662,0.201662,119214550
2018-05-15,0.202278,0.205818,0.190972,0.192722,0.192722,72160012
2018-05-16,0.191927,0.192616,0.180560,0.189276,0.189276,80287191
2018-05-17,0.189998,0.194063,0.179257,0.180385,0.180385,61951288
2018-05-18,0.179757,0.183161,0.173783,0.182222,0.182222,58784564
2018-05-19,0.182708,0.184307,0.177317,0.180535,0.180535,42877922
2018-05-20,0.180440,0.193489,0.178830,0.190068,0.190068,75178094
2018-05-21,0.190064,0.194380,0.184318,0.185287,0.185287,63358380
2018-05-22,0.185701,0.186179,0.166300,0.166970,0.166970,58306024
2018-05-23,0.166959,0.168342,0.149248,0.151749,0.151749,92952352
2018-05-24,0.152086,0.159550,0.144090,0.156172,0.156172,95410253
